
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     12     3.97      10.91       0.03    2332   0 svchost
     10     3.64      10.75       1.17    2344   0 svchost
     13     9.34      10.05      26.20    2360   0 svchost
     27    17.76      20.30      66.95    2564   0 svchost
     12     3.86      11.34       0.08    2588   0 svchost
     11     3.30       6.74       0.03    2652   0 svchost
     11     3.92       8.92       4.95    2680   0 svchost
     12     5.12      13.70       1.84    2764   0 svchost
     36    18.36      22.46       2.59    2872   0 svchost
     15     6.02      15.91       5.27    3032   0 svchost
     13     5.29      11.10       0.05    3288   0 svchost
     22     8.11      19.13       4.83    3392   0 svchost
     14     4.57      11.62       0.33    3400   0 svchost
     19     4.43      11.09       0.52    3456   0 svchost
     11     3.38       8.80       0.05    3584   0 svchost
     21    18.98      28.51     122.41    3724   0 svchost
     11     3.89       9.49       0.19    3764   0 svchost
     13    18.60      22.96       9.66    3808   0 svchost
     17    21.08      18.93      98.36    3884   0 svchost
     14     4.74      13.42      54.50    3928   0 svchost
     20     5.01      13.54      42.66    3940   0 svchost
     16     3.74       9.84       0.05    3948   0 svchost
      9     3.79       6.63       0.14    3956   0 svchost
     12     3.84       9.82       1.70    4008   0 svchost
     15     3.99      11.34       0.31    4016   0 svchost
     14     4.09      10.17       0.72    4520   0 svchost
     13     4.31      14.25       0.41    4528   0 svchost
     17     8.09      18.75       7.56    4948   0 svchost
     10     3.04       8.00       0.02    4960   0 svchost
     12     3.78       8.86       0.66    5124   0 svchost
     23     7.74      19.25       2.95    5164   0 svchost
     16     4.88      12.55       0.16    5180   0 svchost
     15     3.94      10.90       0.95    5276   0 svchost
     10     3.60       8.30     221.86    5476   0 svchost
     10     2.99       7.95       0.00    5536   0 svchost
     10     2.90       7.41       0.02    5572   0 svchost
     43     3.18       8.37       0.02    5752   0 svchost
      8     4.52       7.53       0.86    5800   0 svchost
      8     2.83       7.51       0.02    5860   0 svchost
     36    27.43      41.17      11.19    6268   0 svchost
     33    10.73      19.56      13.70    6300   0 svchost
     30    42.61      46.75      32.31    6416   0 svchost
     16     4.31       8.55       0.03    6492   0 svchost
      8     2.65       5.96       0.02    6540   0 svchost
      8     2.66       5.94       0.00    6564   0 svchost
     20     6.39      20.07       1.38    6696   0 svchost
      9     2.80       6.24       0.02    6712   0 svchost
     17     5.93      10.09       0.12    6760   0 svchost
     12     3.91       9.25       0.02    7080   0 svchost
     17     6.42      13.73       0.95    8792   0 svchost
     20     6.53      22.67       0.48   10428   0 svchost
     11     3.20       8.71       0.02   11720   0 svchost
     10     3.26       8.74       0.05   11936   0 svchost
     18     4.36      12.33       0.03   12008   0 svchost
     21     9.38      22.95       0.88   12164   0 svchost
     16     5.08      13.31       0.52   12188   0 svchost
